date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:18:20	136/136	---MCZ	200	added ('OK')	text/plain	date:Thu,%2031%20Oct%202024%2015:41:45%20GMT	https://www.snaptechit.com/robots.txt		(from )
00:18:21	141018/141018	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Oct%202024%2019:18:21%20GMT	https://www.snaptechit.com/	D:/Hamza%20Solutions/Theme2/snap2/www.snaptechit.com/index.html	(from )
00:18:22	94599/94599	---M--	200	added ('OK')	image/jpeg	etag:%2265a6da02-1f060%22	https://www.snaptechit.com/wp-content/uploads/2024/01/Calm-Employee.jpg	D:/Hamza%20Solutions/Theme2/snap2/www.snaptechit.com/wp-content/uploads/2024/01/Calm-Employee.jpg	(from https://www.snaptechit.com/)
00:18:22	55435/55435	---MCZ	200	added ('OK')	text/css	etag:W/%226723d033-d88b%22	https://www.snaptechit.com/wp-content/plugins/ht-mega-for-elementor/assets/css/htbbootstrap.css?ver=2.7.1	D:/Hamza%20Solutions/Theme2/snap2/www.snaptechit.com/wp-content/plugins/ht-mega-for-elementor/assets/css/htbbootstrap653d.css	(from https://www.snaptechit.com/)
00:18:23	30999/30999	---MCZ	200	added ('OK')	text/css	etag:W/%22671304fd-7917%22	https://www.snaptechit.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0	D:/Hamza%20Solutions/Theme2/snap2/www.snaptechit.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min1849.css	(from https://www.snaptechit.com/)
00:18:23	71292/71292	---MCZ	200	added ('OK')	text/css	etag:W/%226723d033-1167c%22	https://www.snaptechit.com/wp-content/plugins/ht-mega-for-elementor/assets/css/animation.css?ver=2.7.1	D:/Hamza%20Solutions/Theme2/snap2/www.snaptechit.com/wp-content/plugins/ht-mega-for-elementor/assets/css/animation653d.css	(from https://www.snaptechit.com/)
00:18:24	4730/4730	---MCZ	200	added ('OK')	text/css	etag:W/%226723d033-127a%22	https://www.snaptechit.com/wp-content/plugins/ht-mega-for-elementor/assets/css/htmega-keyframes.css?ver=2.7.1	D:/Hamza%20Solutions/Theme2/snap2/www.snaptechit.com/wp-content/plugins/ht-mega-for-elementor/assets/css/htmega-keyframes653d.css	(from https://www.snaptechit.com/)
00:18:24	782/782	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22c8dc0f4d75ffbbac393d941d37e936c9-gzip%22	https://www.snaptechit.com/comments/feed/	D:/Hamza%20Solutions/Theme2/snap2/www.snaptechit.com/comments/feed/index.html	(from https://www.snaptechit.com/)
00:18:24	360413/360413	---MCZ	200	added ('OK')	text/css	etag:W/%226723d033-57fdd%22	https://www.snaptechit.com/wp-content/plugins/ht-mega-for-elementor/assets/css/htmega-global-style.min.css?ver=2.7.1	D:/Hamza%20Solutions/Theme2/snap2/www.snaptechit.com/wp-content/plugins/ht-mega-for-elementor/assets/css/htmega-global-style.min653d.css	(from https://www.snaptechit.com/)
00:18:24	5501/5501	---MCZ	200	added ('OK')	text/css	etag:W/%2266ba2146-157d%22	https://www.snaptechit.com/wp-content/themes/hello-elementor/style.min.css?ver=3.1.1	D:/Hamza%20Solutions/Theme2/snap2/www.snaptechit.com/wp-content/themes/hello-elementor/style.minb12b.css	(from https://www.snaptechit.com/)
00:18:24	147298/147298	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22c8dc0f4d75ffbbac393d941d37e936c9-gzip%22	https://www.snaptechit.com/feed/	D:/Hamza%20Solutions/Theme2/snap2/www.snaptechit.com/feed/index.html	(from https://www.snaptechit.com/)
00:18:24	5146/5146	---MCZ	200	added ('OK')	text/css	etag:W/%2266ba2146-141a%22	https://www.snaptechit.com/wp-content/themes/hello-elementor/theme.min.css?ver=3.1.1	D:/Hamza%20Solutions/Theme2/snap2/www.snaptechit.com/wp-content/themes/hello-elementor/theme.minb12b.css	(from https://www.snaptechit.com/)
00:18:25	7212/7212	---MCZ	200	added ('OK')	text/css	etag:W/%2266ba2146-1c2c%22	https://www.snaptechit.com/wp-content/themes/hello-elementor/header-footer.min.css?ver=3.1.1	D:/Hamza%20Solutions/Theme2/snap2/www.snaptechit.com/wp-content/themes/hello-elementor/header-footer.minb12b.css	(from https://www.snaptechit.com/)
